value	old_description_da	new_description_da	description_en	translation_source
50202010	Pædagogisk, MVU (compound: 50202010)	Folkeskolelærer, MVU	Primary and lower secondary school teacher, MVU	fable-5
30101510	Omsorg, sundhed og pædagogik (OSP) (compound: 30101510)	Pædagogisk assistentuddannelse	Pedagogical assistant programme	fable-5
30204510	Fødevarer mv. (FJO) (compound: 30204510)	Receptionist	Receptionist	reused-master
29251040	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251040)	Service, grundforløb	Service, basic course	fable-5
30151510	Kontor, handel og forretningsservice (KHF) (compound: 30151510)	Kontoruddannelse, generel og med speciale	Office programme, general and specialised	fable-5
20203010	Erhvervsrettede gymnasiale uddannelser (compound: 20203010)	Hhx 3-årig	HHX three-year	fable-5
20101030	Alment gymnasiale uddannelser (compound: 20101030)	Sproglig gymnasium	Upper-secondary school (language stream)	reused-master
50589530	Teknisk, MVU (compound: 50589530)	Teknisk i øvrigt, MVU	Other technical, MVU	fable-5
15203010	Introducerende og erhvervsrettede forløb (compound: 15203010)	Tf-kurser mv.	TF courses etc.	fable-5
30152010	Kontor, handel og forretningsservice (KHF) (compound: 30152010)	Finansuddannelse	Finance programme	fable-5
40751710	Fødevarer, bio- og laboratorieteknik, KVU (compound: 40751710)	Laborant, KVU	Laboratory technician, KVU	fable-5
30103510	Omsorg, sundhed og pædagogik (OSP) (compound: 30103510)	Sundhed, omsorg og pædagogik i øvrigt	Other health, care and pedagogy	fable-5
30552010	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30552010)	Industrioperatør	Industrial Operator	reused-master
30502510	Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT) (compound: 30502510)	Vognmaler	Vehicle painter	fable-5
50593510	Teknisk videnskab, MVU (compound: 50593510)	Elektronik i øvrigt, teknisk videnskab, MVU	Other electronics, engineering science, MVU	fable-5
20201010	Erhvervsrettede gymnasiale uddannelser (compound: 20201010)	Hhx 1-årig	HHX one-year	fable-5
30153010	Kontor, handel og forretningsservice (KHF) (compound: 30153010)	Handelsuddannelse	Commercial trade programme	fable-5
50201510	Pædagogisk, MVU (compound: 50201510)	Pædagog, MVU	Educator (pædagog), MVU	fable-5
30253510	Jordbrug og natur (FJO) (compound: 30253510)	Veterinærsygepleje	Veterinary Nursing	reused-master
70259710	Humanistisk og teologisk, LVU (compound: 70259710)	Teologi, LVU	Theology, LVU	fable-5
50384010	Samfundsfaglig, Økonomisk-Merkantil, MVU (compound: 50384010)	Socialrådgivning og -formidling mv., MVU	Social counselling and dissemination etc., MVU	fable-5
29201010	Fødevarer, jordbrug og oplevelser (FJO), grundforløb (compound: 29201010)	Fra jord til bord, grundforløb	From farm to table, basic course	fable-5
30352010	Byggeriområdet (TBT) (compound: 30352010)	Bygningsmaler	Building painter	reused-master
30553525	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30553525)	Smed	Smith	reused-master
30251010	Jordbrug og natur (FJO) (compound: 30251010)	Landbrugsuddannelse	Agricultural programme	fable-5
30402510	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30402510)	Elektriker	Electrician	reused-master
40582415	Teknisk, KVU (compound: 40582415)	Installatør af stærkstrømsteknik, KVU	Electrical (high-voltage) installer, KVU	fable-5
60396510	Samfundsvidenskab, BACH (compound: 60396510)	Erhvervsøkonomi, HA, BACH	Business economics, HA, BACH	fable-5
30901510	Andre erhvervsfaglige uddannelser (compound: 30901510)	Maritime uddannelser	Maritime programmes	fable-5
29101010	Omsorg, sundhed og pædagogik (OSP), grundforløb (compound: 29101010)	Sundhed, omsorg og pædagogik, grundforløb	Health, care and pedagogy, basic course	fable-5
30203510	Fødevarer mv. (FJO) (compound: 30203510)	Gastronomuddannelse	Gastronome (chef) programme	fable-5
20103030	Alment gymnasiale uddannelser (compound: 20103030)	Sproglig studenterkursus	Language-oriented student course	reused-master
30102015	Omsorg, sundhed og pædagogik (OSP) (compound: 30102015)	Social- og sundhedshjælper	Social and Health Care Assistant	reused-master
40382510	Samfundsfaglig, Økonomisk-Merkantil, KVU (compound: 40382510)	Handels- og markedsføringsøkonom mv., KVU	Trade and marketing economist etc., KVU	fable-5
50202515	Pædagogisk, MVU (compound: 50202515)	Andre pædagogiske uddannelser, MVU	Other pedagogical programmes, MVU	fable-5
30251520	Jordbrug og natur (FJO) (compound: 30251520)	Væksthusgartner	Greenhouse Gardener	reused-master
30501010	Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT) (compound: 30501010)	Cykel-, auto- og skibsmekanikere uden nærmere angivelse	Bicycle, car and ship mechanics, not further specified	fable-5
70355015	Naturvidenskab, LVU (compound: 70355015)	Matematik og økonomi, LVU	Mathematics and economics, LVU	fable-5
50581010	Teknisk, MVU (compound: 50581010)	Teknisk uden nærmere angivelse, MVU	Technical, not further specified, MVU	fable-5
50583015	Teknisk, MVU (compound: 50583015)	Maskinteknisk i øvrigt, MVU	Other mechanical engineering, MVU	fable-5
70393010	Samfundsvidenskab, LVU (compound: 70393010)	Jura, LVU	Law, LVU	fable-5
80393510	Samfundsvidenskab, Ph.d. (compound: 80393510)	Statskundskab, Ph.d.	Political science, Ph.d.	fable-5
40581515	Teknisk, KVU (compound: 40581515)	Byggeri- og anlægsteknik i øvrigt, KVU	Other building and civil engineering, KVU	fable-5
50581510	Teknisk, MVU (compound: 50581510)	Bygningskonstruktør, MVU	Constructing architect, MVU	fable-5
70301510	Kunstnerisk, LVU (compound: 70301510)	Arkitektur, LVU	Architecture, LVU	fable-5
29251050	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251050)	Teknologi og kommunikation, grundforløb	Technology and communication, basic course	fable-5
40383010	Samfundsfaglig, Økonomisk-Merkantil, KVU (compound: 40383010)	Serviceøkonom mv., KVU	Service economist etc., KVU	fable-5
70395010	Samfundsvidenskab, LVU (compound: 70395010)	Økonomi, LVU	Economics, LVU	fable-5
30351510	Byggeriområdet (TBT) (compound: 30351510)	Brolægger og struktør mv.	Paver and structural worker etc.	fable-5
30201510	Fødevarer mv. (FJO) (compound: 30201510)	Detailslagter	Retail butcher	fable-5
30355510	Byggeriområdet (TBT) (compound: 30355510)	Boligmontering og møbelpolstring mv.	Home furnishing and furniture upholstery etc.	fable-5
40751510	Fødevarer, bio- og laboratorieteknik, KVU (compound: 40751510)	Laboratorie-, fødevare- og procesteknologi, KVU	Laboratory, food and process technology, KVU	fable-5
50752010	Fødevarer, Bio- og laboratorieteknik, MVU (compound: 50752010)	Ernæring og sundhed, MVU	Nutrition and health, MVU	fable-5
20204010	Erhvervsrettede gymnasiale uddannelser (compound: 20204010)	Htx	HTX (higher technical examination)	reused-master
40582015	Teknisk, KVU (compound: 40582015)	It-uddannelser, KVU	IT programmes, KVU	fable-5
30251020	Jordbrug og natur (FJO) (compound: 30251020)	Landmand, efteruddannelse	Farmer, further education	reused-master
50891510	Sundhedsfaglig, MVU (compound: 50891510)	Ergo- og fysioterapeut, MVU	Occupational therapist and physiotherapist, MVU	fable-5
70592510	Teknisk videnskab, LVU (compound: 70592510)	Bygnings- og anlægsteknik, LVU	Building and civil engineering, LVU	fable-5
70391510	Samfundsvidenskab, LVU (compound: 70391510)	Administration, forvaltning og ledelse, LVU	Administration, public governance and management, LVU	fable-5
29251015	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251015)	Bygge og anlæg, grundforløb	Building and construction, basic course	fable-5
35201010	Adgangseksamen - videregående uddannelse (compound: 35201010)	Adgangseksamen - videregående uddannelse	Entrance examination for higher education	fable-5
50582510	Teknisk, MVU (compound: 50582510)	Energi- og stærkstrømsteknisk, MVU	Energy and high-voltage engineering, MVU	fable-5
50893510	Sundhedsfaglig, MVU (compound: 50893510)	Sygepleje og sundhedspleje, MVU	Nursing and health visiting, MVU	fable-5
30354010	Byggeriområdet (TBT) (compound: 30354010)	Tømrer mv.	Carpenter etc.	fable-5
70591010	Teknisk videnskab, LVU (compound: 70591010)	Teknisk videnskab uden nærmere angivelse, LVU	Engineering science, not further specified, LVU	fable-5
70351710	Naturvidenskab, LVU (compound: 70351710)	Biologi, LVU	Biology, LVU	fable-5
30154510	Kontor, handel og forretningsservice (KHF) (compound: 30154510)	Merkantile uddannelser i øvrigt	Other mercantile programmes	fable-5
70396010	Samfundsvidenskab, LVU (compound: 70396010)	Erhvervsøkonomi, cand.merc., LVU	Business economics, cand.merc., LVU	fable-5
30502010	Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT) (compound: 30502010)	Karosseriuddannelse	Vehicle body programme	fable-5
29251045	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251045)	Strøm, styring og it, grundforløb	Electricity, control systems and IT, basic course	fable-5
30403020	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30403020)	Procesoperatør	Process operator	reused-master
70351010	Naturvidenskab, LVU (compound: 70351010)	Naturvidenskab uden nærmere angivelse, LVU	Natural sciences, not further specified, LVU	fable-5
70356010	Naturvidenskab, LVU (compound: 70356010)	Datalogi og datahåndtering, LVU	Computer science and data management, LVU	fable-5
50258015	Humanistisk og teologisk, MVU (compound: 50258015)	Flere erhvervssprog, korrespondent, MVU	Several business languages, correspondent, MVU	fable-5
70252710	Humanistisk og teologisk, LVU (compound: 70252710)	Litteraturvidenskab, LVU	Comparative literature, LVU	fable-5
30203010	Fødevarer mv. (FJO) (compound: 30203010)	Ernæringsassistenter	Nutrition assistants	fable-5
30354510	Byggeriområdet (TBT) (compound: 30354510)	Vvs-teknik	Plumbing (VVS) technology	fable-5
70355010	Naturvidenskab, LVU (compound: 70355010)	Matematik, LVU	Mathematics, LVU	fable-5
80351010	Naturvidenskab, Ph.d. (compound: 80351010)	Naturvidenskab uden nærmere angivelse, Ph.d.	Natural sciences, not further specified, Ph.d.	fable-5
30353010	Byggeriområdet (TBT) (compound: 30353010)	Murer	Bricklayer	reused-master
15205030	Introducerende og erhvervsrettede forløb (compound: 15205030)	Erhvervsintroduktion, kurser	Introduction to trades, courses	fable-5
50592510	Teknisk videnskab, MVU (compound: 50592510)	Bygnings- og anlægsteknik, MVU	Building and civil engineering, MVU	fable-5
70804510	Jordbrug, natur og miljø, LVU (compound: 70804510)	Landskabsarkitektur og -forvaltning, LVU	Landscape architecture and management, LVU	fable-5
70905510	Sundhedsvidenskab, LVU (compound: 70905510)	Odontologi, LVU	Odontology (dentistry), LVU	fable-5
70593010	Teknisk videnskab, LVU (compound: 70593010)	Tele-, data- og it-teknologi mv., LVU	Tele, data and IT technology etc., LVU	fable-5
30559020	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30559020)	Teknisk designer	Technical designer	reused-master
40751590	Fødevarer, bio- og laboratorieteknik, KVU (compound: 40751590)	Laboratorie-, fødevare- og procesteknologi i øvrigt, KVU	Other laboratory, food and process technology, KVU	fable-5
50581515	Teknisk, MVU (compound: 50581515)	Byggeri- og anlægsteknik i øvrigt, MVU	Other building and civil engineering, MVU	fable-5
30302010	Oplevelsesområdet (FJO) (compound: 30302010)	Frisør	Hairdresser	reused-master
30251510	Jordbrug og natur (FJO) (compound: 30251510)	Anlægsgartner	Landscape Gardener	reused-master
70356020	Naturvidenskab, LVU (compound: 70356020)	Informatik, LVU	Informatics, LVU	fable-5
60802010	Jordbrug, natur og miljø, BACH (compound: 60802010)	Jordbrugsvidenskab, BACH	Agricultural science, BACH	fable-5
70802010	Jordbrug, natur og miljø, LVU (compound: 70802010)	Jordbrugsvidenskab, LVU	Agricultural science, LVU	fable-5
30102020	Omsorg, sundhed og pædagogik (OSP) (compound: 30102020)	Social- og sundhedsassistent	Social and Health Assistant	reused-master
30402010	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30402010)	Data- og kommunikationsteknik	Data and communication technology	fable-5
30102510	Omsorg, sundhed og pædagogik (OSP) (compound: 30102510)	Hospitalsteknisk assistent	Hospitalsteknisk assistent	reused-master
60258510	Humanistisk og teologisk, BACH (compound: 60258510)	Erhvervssproglige bachelorer, BACH	Business language bachelors, BACH	fable-5
40951010	Politi og forsvar mv., KVU (compound: 40951010)	Politi og forsvar uden nærmere angivelse, KVU	Police and defence, not further specified, KVU	fable-5
70256510	Humanistisk og teologisk, LVU (compound: 70256510)	Engelsk, LVU	English, LVU	fable-5
50591520	Teknisk videnskab, MVU (compound: 50591520)	Kemisk og biokemisk teknologi, MVU	Chemical and biochemical technology, MVU	fable-5
50253510	Humanistisk og teologisk, MVU (compound: 50253510)	Biblioteks- og informationsuddannelser	Library and information programmes	fable-5
50595010	Teknisk videnskab, MVU (compound: 50595010)	Maskinteknik og maskinkonstruktion, MVU	Mechanical engineering and machine design, MVU	fable-5
20103020	Alment gymnasiale uddannelser (compound: 20103020)	Matematisk studenterkursus	Matematisk studenterkursus	reused-master
30555010	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30555010)	Plastmager	Plastics fabricator	reused-master
30401510	Teknologiområdet, strøm og elektronik mv. (TBT) (compound: 30401510)	Automatik og automationsproces	Automatics and automation processes	fable-5
50582015	Teknisk, MVU (compound: 50582015)	It-uddannelser, MVU	IT programmes, MVU	fable-5
70393510	Samfundsvidenskab, LVU (compound: 70393510)	Statskundskab, LVU	Political science, LVU	fable-5
30201010	Fødevarer mv. (FJO) (compound: 30201010)	Bager og konditor	Baker and Confectioner	reused-master
30102010	Omsorg, sundhed og pædagogik (OSP) (compound: 30102010)	Social- og sundhedsuddannelse uden nærmere angivelse	Social and health care programme, not further specified	fable-5
40382010	Samfundsfaglig, Økonomisk-Merkantil, KVU (compound: 40382010)	Finansøkonom mv., KVU	Financial economist etc., KVU	fable-5
40582410	Teknisk, KVU (compound: 40582410)	Installatør af stærkstrøms- og vvs-teknik uden nærmere angivelse, KVU	Installer of electrical and plumbing technology, not further specified, KVU	fable-5
70255210	Humanistisk og teologisk, LVU (compound: 70255210)	Dansk-nordisk sprog og litteratur, LVU	Danish-Nordic language and literature, LVU	fable-5
30156010	Kontor, handel og forretningsservice (KHF) (compound: 30156010)	Serviceassistentuddannelse	Service assistant programme	fable-5
30501510	Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT) (compound: 30501510)	Cykel- og motorcykelmekaniker	Bicycle and Motorcycle Mechanic	reused-master
50894010	Sundhedsfaglig, MVU (compound: 50894010)	Tandplejer og klinisk tandteknik, MVU	Dental hygienist and clinical dental technology, MVU	fable-5
30501520	Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT) (compound: 30501520)	Entreprenør- og landbrugsmaskinmekaniker	Construction and agricultural machinery mechanic	fable-5
70353710	Naturvidenskab, LVU (compound: 70353710)	Geografi, LVU	Geography, LVU	fable-5
60251010	Humanistisk og teologisk, BACH (compound: 60251010)	Humanistisk uden nærmere angivelse, BACH	Humanities, not further specified, BACH	fable-5
70254510	Humanistisk og teologisk, LVU (compound: 70254510)	Religion og religionsvidenskab, LVU	Religion and religious studies, LVU	fable-5
40583015	Teknisk, KVU (compound: 40583015)	Maskinteknisk i øvrigt, KVU	Other mechanical engineering, KVU	fable-5
30556510	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30556510)	Finmekaniker	Fin mechanic	reused-master
70306540	Kunstnerisk, LVU (compound: 70306540)	Musik og musikpædagogik, LVU	Music and music pedagogy, LVU	fable-5
30452520	Teknologiområdet, grafisk teknik og medieproduktion (TBT) (compound: 30452520)	Mediegrafiker	Media graphic designer	reused-master
30453010	Teknologiområdet, grafisk teknik og medieproduktion (TBT) (compound: 30453010)	Grafisk tekniker	Grafisk  technician	reused-master
60306010	Kunstnerisk, BACH (compound: 60306010)	Konservering - restaurering uden nærmere angivelse, BACH	Conservation-restoration, not further specified, BACH	fable-5
70306010	Kunstnerisk, LVU (compound: 70306010)	Konservering - restaurering uden nærmere angivelse, LVU	Conservation-restoration, not further specified, LVU	fable-5
30554510	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30554510)	Værktøjsuddannelser	Tooling programmes	fable-5
30155510	Kontor, handel og forretningsservice (KHF) (compound: 30155510)	Ejendomsservicetekniker	Ejendomsservice technician	reused-master
50891210	Sundhedsfaglig, MVU (compound: 50891210)	Bioanalytiker, MVU	Biomedical laboratory scientist, MVU	fable-5
40892510	Sundhedsfaglig, KVU (compound: 40892510)	Omsorgsarbejde, KVU	Care work, KVU	fable-5
30201515	Fødevarer mv. (FJO) (compound: 30201515)	Industrislagter	Industrial butcher [completed qualification]	reused-master
30653510	Transport og logistikområdet (TBT) (compound: 30653510)	Chauffør mv., personbefordring	Driver etc., passenger transport	fable-5
30204010	Fødevarer mv. (FJO) (compound: 30204010)	Tjener	Waiter	reused-master
50593010	Teknisk videnskab, MVU (compound: 50593010)	Tele-, data- og it-teknologi mv., teknisk videnskab, MVU	Tele, data and IT technology etc., engineering science, MVU	fable-5
50582010	Teknisk, MVU (compound: 50582010)	Tele-, data- og it-teknologi mv., teknisk, MVU	Tele, data and IT technology etc., technical, MVU	fable-5
50589510	Teknisk, MVU (compound: 50589510)	Teknik og forretningsudvikling, MVU	Technology and business development, MVU	fable-5
40585020	Teknisk, KVU (compound: 40585020)	Teknisk, produktion og produktudvikling i øvrigt, KVU	Other technical, production and product development, KVU	fable-5
80801010	Jordbrug, natur og miljø, Ph.d. (compound: 80801010)	Jordbrug, natur og miljø uden nærmere angivelse, Ph.d.	Agriculture, nature and environment, not further specified, Ph.d.	fable-5
30251515	Jordbrug og natur (FJO) (compound: 30251515)	Produktionsgartner	Produktionsgartner	reused-master
30501525	Teknologiområdet, cykel-, auto- og skibsmekanik mv. (TBT) (compound: 30501525)	Flymekaniker	Fly mechanic [completed qualification]	reused-master
70258810	Humanistisk og teologisk, LVU (compound: 70258810)	Erhvervssprog, ling.merc., LVU	Business language, ling.merc., LVU	fable-5
30557010	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30557010)	Tekstil- og beklædningshåndværk	Textile and clothing crafts	fable-5
60393510	Samfundsvidenskab, BACH (compound: 60393510)	Statskundskab, BACH	Political science, BACH	fable-5
70391010	Samfundsvidenskab, LVU (compound: 70391010)	Samfundsvidenskab uden nærmere angivelse, LVU	Social sciences, not further specified, LVU	fable-5
70251215	Humanistisk og teologisk, LVU (compound: 70251215)	Arkæologi, klassisk, LVU	Archaeology, classical, LVU	fable-5
80252010	Humanistisk og teologisk, Ph.d. (compound: 80252010)	Filosofi, Ph.d.	Philosophy, Ph.d.	fable-5
29251035	Teknologi, byggeri og transport (TBT), grundforløb (compound: 29251035)	Produktion og udvikling, grundforløb	Production and development, basic course	fable-5
60305010	Kunstnerisk, BACH (compound: 60305010)	Designer uden nærmere angivelse, BACH	Designer, not further specified, BACH	fable-5
70305010	Kunstnerisk, LVU (compound: 70305010)	Designer uden nærmere angivelse, LVU	Designer, not further specified, LVU	fable-5
60255510	Humanistisk og teologisk, BACH (compound: 60255510)	Mellemøstens sprog uden nærmere angivelse, BACH	Middle Eastern languages, not further specified, BACH	fable-5
70255510	Humanistisk og teologisk, LVU (compound: 70255510)	Mellemøstens sprog uden nærmere angivelse, LVU	Middle Eastern languages, not further specified, LVU	fable-5
60255210	Humanistisk og teologisk, BACH (compound: 60255210)	Dansk-nordisk sprog og litteratur, BACH	Danish-Nordic language and literature, BACH	fable-5
70803010	Jordbrug, natur og miljø, LVU (compound: 70803010)	Veterinærmedicin, LVU	Veterinary medicine, LVU	fable-5
40582020	Teknisk, KVU (compound: 40582020)	Elektronik i øvrigt, KVU	Other electronics, KVU	fable-5
70252615	Humanistisk og teologisk, LVU (compound: 70252615)	Film og medievidenskab, LVU	Film and media studies, LVU	fable-5
30452010	Teknologiområdet, grafisk teknik og medieproduktion (TBT) (compound: 30452010)	Fotograf	Photographer	reused-master
50952525	Politi og forsvar mv., MVU (compound: 50952525)	Officer i søværnet, MVU	Officer in the navy, MVU	fable-5
40582420	Teknisk, KVU (compound: 40582420)	Installatør af vvs-teknik, KVU	Plumbing (VVS) installer, KVU	fable-5
70752515	Fødevarer, Bio- og laboratorieteknik, LVU (compound: 70752515)	Mejeribrugsvidenskab, LVU	Dairy science, LVU	fable-5
80591010	Teknisk videnskab, Ph.d. (compound: 80591010)	Teknisk videnskab uden nærmere angivelse, Ph.d.	Engineering science, not further specified, Ph.d.	fable-5
30251015	Jordbrug og natur (FJO) (compound: 30251015)	Landbrugets lederuddannelse	Leadership Development in Agriculture	reused-master
70905010	Sundhedsvidenskab, LVU (compound: 70905010)	Medicin, LVU	Medicine, LVU	fable-5
40801510	Jordbrug, natur og miljø, KVU (compound: 40801510)	Jordbrugsteknologisk, KVU	Agricultural technology, KVU	fable-5
30103010	Omsorg, sundhed og pædagogik (OSP) (compound: 30103010)	Tandklinikassistent	Dental clinic assistant	reused-master
30451510	Teknologiområdet, grafisk teknik og medieproduktion (TBT) (compound: 30451510)	Film- og tv-produktion	Film and TV production	fable-5
35101010	Gymnasial supplering (compound: 35101010)	Flygtninge adgangskursus til videregående udd.	Refugee access course for higher education	fable-5
50304510	Kunstnerisk, MVU (compound: 50304510)	Skuespiller, MVU	Actor, MVU	fable-5
60391010	Samfundsvidenskab, BACH (compound: 60391010)	Samfundsvidenskab uden nærmere angivelse, BACH	Social sciences, not further specified, BACH	fable-5
70594510	Teknisk videnskab, LVU (compound: 70594510)	Landinspektørvidenskab, LVU	Chartered surveying science, LVU	fable-5
60351010	Naturvidenskab, BACH (compound: 60351010)	Naturvidenskab uden nærmere angivelse, BACH	Natural sciences, not further specified, BACH	fable-5
40951510	Politi og forsvar mv., KVU (compound: 40951510)	Fængselsvæsnet, KVU	The prison service, KVU	fable-5
30202010	Fødevarer mv. (FJO) (compound: 30202010)	Tarmrenser	Gut cleaner	reused-master
30601010	Teknik- og industriuddannelser i øvrigt (TBT) (compound: 30601010)	Glasmager	Glassmaker	reused-master
30651010	Transport og logistikområdet (TBT) (compound: 30651010)	Transport og logistik uden nærmere angivelse	Transport and logistics, not further specified	fable-5
60259510	Humanistisk og teologisk, BACH (compound: 60259510)	Eskimologi, BACH	Eskimology, BACH	fable-5
70259510	Humanistisk og teologisk, LVU (compound: 70259510)	Eskimologi, LVU	Eskimology, LVU	fable-5
30653010	Transport og logistikområdet (TBT) (compound: 30653010)	Redderuddannelser	Rescue worker programmes	fable-5
40894515	Sundhedsfaglig, KVU (compound: 40894515)	Farmakonom, KVU	Pharmaconomist, KVU	fable-5
70252620	Humanistisk og teologisk, LVU (compound: 70252620)	Dramaturgi og teatervidenskab, LVU	Dramaturgy and theatre studies, LVU	fable-5
50242510	Medier og kommunikation, MVU (compound: 50242510)	Journalist og journalistisk arbejde, MVU	Journalist and journalistic work, MVU	fable-5
50952520	Politi og forsvar mv., MVU (compound: 50952520)	Officer i hæren, MVU	Officer in the army, MVU	fable-5
60251210	Humanistisk og teologisk, BACH (compound: 60251210)	Arkæologi, forhistorisk, BACH	Archaeology, prehistoric, BACH	fable-5
70251210	Humanistisk og teologisk, LVU (compound: 70251210)	Arkæologi, forhistorisk, LVU	Archaeology, prehistoric, LVU	fable-5
60252710	Humanistisk og teologisk, BACH (compound: 60252710)	Litteraturvidenskab, BACH	Comparative literature, BACH	fable-5
60253210	Humanistisk og teologisk, BACH (compound: 60253210)	Journalistik, BACH	Journalism, BACH	fable-5
60253510	Humanistisk og teologisk, BACH (compound: 60253510)	Informationsvidenskab mv., BACH	Information science etc., BACH	fable-5
70952520	Politi og forsvar mv., LVU (compound: 70952520)	Officer i hæren, LVU	Officer in the army, LVU	fable-5
30353515	Byggeriområdet (TBT) (compound: 30353515)	Maskinsnedker mv.	Industrial joiner etc.	fable-5
50751010	Fødevarer, Bio- og laboratorieteknik, MVU (compound: 50751010)	Fødevarer, Bio- og laboratorieteknik uden nærmere angivelse, MVU	Food, bio- and laboratory technology, not further specified, MVU	fable-5
70203020	Pædagogisk, LVU (compound: 70203020)	Pædagogik, LVU	Pedagogy, LVU	fable-5
60203020	Pædagogisk, BACH (compound: 60203020)	Pædagogik, BACH	Pedagogy, BACH	fable-5
70356040	Naturvidenskab, LVU (compound: 70356040)	Naturvidenskabelige it-uddannelser i øvrigt, LVU	Other natural science IT programmes, LVU	fable-5
70397010	Samfundsvidenskab, LVU (compound: 70397010)	Erhvervsøkonomi-erhvervssprog mv., negot., LVU	Business economics and business language etc., negot., LVU	fable-5
15201020	Introducerende og erhvervsrettede forløb (compound: 15201020)	Husholdningskursus, andre	Household course, other	fable-5
60251220	Humanistisk og teologisk, BACH (compound: 60251220)	Arkæologi, middelalder, BACH	Archaeology, medieval, BACH	fable-5
70904510	Sundhedsvidenskab, LVU (compound: 70904510)	Sygeplejevidenskab, LVU	Nursing science, LVU	fable-5
60256310	Humanistisk og teologisk, BACH (compound: 60256310)	Østasiatiske sprog uden nærmere angivelse, BACH	East Asian languages, not further specified, BACH	fable-5
40589515	Teknisk, KVU (compound: 40589515)	Teknisk offshore, KVU	Technical offshore, KVU	fable-5
40859510	Maritimt, KVU (compound: 40859510)	Maritime uddannelser i øvrigt, KVU	Other maritime programmes, KVU	fable-5
30557510	Teknologiområdet, maskinteknik og produktion (TBT) (compound: 30557510)	Laboratorietandtekniker	Laboratorietand technician [completed qualification]	reused-master
30352510	Byggeriområdet (TBT) (compound: 30352510)	Glarmester	Glazier	reused-master
60255525	Humanistisk og teologisk, BACH (compound: 60255525)	Persisk, BACH	Persian, BACH	fable-5
60253010	Humanistisk og teologisk, BACH (compound: 60253010)	Kommunikation og formidling, BACH	Communication and dissemination, BACH	fable-5
